Year,Carrier,Total
2015,DL,565
2015,DL,568
2015,DL,580
2015,AA,581
2015,DL,585
2015,DL,588
2015,DL,589
2015,DL,594
2015,UA,595
2015,AA,596
2015,UA,599
2015,UA,601
2015,DL,601
2015,DL,609
2015,UA,613
2015,AA,615
2015,DL,616
2015,UA,616
2015,DL,617
2015,DL,617
2015,DL,618
2015,AA,618
2015,AA,619
2015,DL,626
2015,UA,627
2015,AA,629
2015,AA,631
2015,AA,631
2015,AA,634
2015,UA,640
2015,AA,643
2015,UA,646
2015,UA,646
2015,DL,647
2015,UA,648
2015,UA,648
2015,AA,661
2015,DL,663
2015,DL,664
2015,UA,667
2015,AA,667
2015,UA,669
2015,UA,672
2015,UA,673
2015,DL,673
2015,UA,674
2015,DL,676
2015,UA,677
2015,DL,677
2015,UA,678
2015,DL,679
2015,DL,681
2015,DL,684
2015,DL,684
2015,UA,685
2015,UA,685
2015,AA,686
2015,DL,688
2015,AA,693
2015,DL,693
2015,AA,697
2015,DL,698
2015,DL,698
2015,AA,700
2015,DL,700
2015,DL,708
2015,AA,708
2015,UA,710
2015,DL,711
2015,AA,711
2015,UA,713
2015,AA,713
2015,DL,714
2015,UA,715
2015,AA,715
2015,UA,715
2015,UA,717
2015,AA,717
2015,AA,721
2015,DL,726
2015,UA,726
2015,AA,728
2015,UA,729
2015,DL,729
2015,DL,731
2015,AA,734
2015,AA,735
2015,AA,736
2015,UA,738
2015,UA,739
2015,AA,741
2015,UA,745
2015,UA,747
2015,AA,751
2015,DL,753
2015,DL,753
2015,DL,753
2015,UA,753
2015,UA,754
2015,AA,754
2015,DL,754
2015,DL,756
2015,DL,759
2015,UA,762
2015,UA,765
2015,DL,766
2015,AA,767
2015,AA,767
2015,DL,768
2015,AA,768
2015,DL,770
2015,AA,773
2015,AA,775
2015,AA,780
2015,AA,783
2015,DL,784
2015,AA,784
2015,DL,785
2015,UA,786
2015,UA,787
2015,DL,789
2015,AA,790
2015,AA,790
2015,AA,791
2015,DL,792
2015,DL,793
2015,DL,794
2015,UA,795
2015,UA,795
2015,AA,795
2015,UA,796
2015,UA,796
2015,UA,796
2015,DL,797
2015,AA,799
2015,DL,800
2015,DL,801
2015,UA,801
2015,DL,803
2015,DL,804
2015,UA,804
2015,UA,804
2015,DL,807
2015,AA,807
2015,DL,807
2015,UA,808
2015,UA,808
2015,DL,810
2015,AA,810
2015,DL,813
2015,UA,814
2015,DL,815
2015,UA,815
2015,UA,815
2015,UA,815
2015,DL,816
2015,UA,816
2015,DL,817
2015,AA,818
2015,DL,818
2015,AA,818
2015,AA,820
2015,AA,821
2015,DL,826
2015,UA,827
2015,UA,827
2015,UA,831
2015,AA,831
2015,AA,831
2015,DL,831
2015,DL,834
2015,AA,834
2015,DL,835
2015,DL,835
2015,DL,835
2015,AA,836
2015,UA,836
2015,DL,836
2015,DL,836
2015,UA,837
2015,AA,838
2015,AA,841
2015,UA,841
2015,UA,842
2015,AA,843
2015,UA,844
2015,UA,845
2015,AA,846
2015,DL,847
2015,UA,848
2015,AA,848
2015,DL,850
2015,DL,851
2015,AA,851
2015,DL,852
2015,UA,854
2015,DL,854
2015,DL,856
2015,UA,857
2015,DL,858
2015,AA,859
2015,AA,859
2015,UA,860
2015,AA,865
2015,UA,865
2015,AA,867
2015,AA,867
2015,UA,868
2015,UA,868
2015,UA,871
2015,DL,872
2015,DL,872
2015,UA,874
2015,DL,875
2015,DL,878
2015,DL,878
2015,AA,879
2015,AA,880
2015,UA,880
2015,AA,880
2015,DL,881
2015,UA,881
2015,DL,883
2015,DL,883
2015,AA,883
2015,AA,883
2015,UA,885
2015,DL,887
2015,UA,888
2015,DL,889
2015,AA,892
2015,AA,893
2015,DL,895
2015,UA,896
2015,DL,896
2015,UA,898
2015,DL,898
2015,UA,899
2015,AA,899
2015,AA,900
2015,DL,900
2015,UA,903
2015,DL,904
2015,DL,905
2015,AA,905
2015,DL,906
2015,AA,907
2015,UA,907
2015,AA,907
2015,DL,907
2015,UA,908
2015,DL,908
2015,UA,908
2015,DL,909
2015,UA,910
2015,DL,912
2015,UA,913
2015,AA,913
2015,AA,913
2015,DL,914
2015,DL,914
2015,DL,915
2015,UA,916
2015,AA,916
2015,DL,917
2015,DL,918
2015,DL,919
2015,AA,919
2015,DL,923
2015,UA,924
2015,AA,925
2015,DL,925
2015,AA,927
2015,UA,927
2015,DL,928
2015,DL,928
2015,AA,929
2015,AA,930
2015,AA,930
2015,DL,931
2015,AA,931
2015,AA,931
2015,DL,932
2015,DL,933
2015,DL,934
2015,UA,934
2015,DL,937
2015,DL,938
2015,DL,940
2015,DL,942
2015,DL,943
2015,DL,944
2015,AA,946
2015,UA,947
2015,DL,947
2015,DL,948
2015,DL,948
2015,DL,948
2015,UA,950
2015,UA,950
2015,DL,952
2015,AA,953
2015,DL,953
2015,DL,954
2015,DL,957
2015,DL,963
2015,UA,964
2015,UA,964
2015,DL,964
2015,DL,965
2015,UA,965
2015,DL,965
2015,AA,966
2015,AA,966
2015,UA,967
2015,UA,967
2015,DL,969
2015,DL,970
2015,DL,971
2015,DL,972
2015,UA,972
2015,UA,973
2015,DL,974
2015,DL,974
2015,UA,975
2015,UA,975
2015,AA,976
2015,DL,977
2015,UA,978
2015,UA,980
2015,UA,981
2015,AA,981
2015,DL,981
2015,DL,981
2015,DL,982
2015,DL,984
2015,DL,985
2015,DL,986
2015,DL,986
2015,UA,987
2015,DL,987
2015,DL,988
2015,DL,988
2015,AA,989
2015,UA,990
2015,UA,991
2015,AA,994
2015,DL,995
2015,UA,996
2015,DL,997
2015,DL,998
2015,UA,998
2015,UA,998
2015,UA,1001
2015,UA,1002
2015,AA,1003
2015,DL,1003
2015,DL,1004
2015,DL,1006
2015,DL,1007
2015,AA,1009
2015,UA,1010
2015,UA,1011
2015,DL,1011
2015,UA,1012
2015,UA,1013
2015,DL,1013
2015,DL,1014
2015,AA,1015
2015,DL,1015
2015,AA,1015
2015,DL,1016
2015,DL,1016
2015,DL,1017
2015,DL,1018
2015,AA,1018
2015,DL,1020
2015,DL,1020
2015,AA,1020
2015,DL,1024
2015,AA,1025
2015,UA,1026
2015,DL,1027
2015,DL,1028
2015,AA,1028
2015,DL,1028
2015,UA,1028
2015,UA,1030
2015,DL,1031
2015,UA,1031
2015,AA,1031
2015,DL,1031
2015,AA,1033
2015,DL,1033
2015,UA,1033
